# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdc dump.img ddrescue.log --retrim -r 1
# Start time:   2023-02-26 21:30:41
# Current time: 2023-02-26 21:39:12
# Finished
# current_pos  current_status  current_pass
0x0014CE00     +               1
#      pos        size  status
0x00000000  0x00004800  +
0x00004800  0x00002400  -
0x00006C00  0x00016000  +
0x0001CC00  0x00000200  -
0x0001CE00  0x00004600  +
0x00021400  0x00000200  -
0x00021600  0x00004600  +
0x00025C00  0x00000200  -
0x00025E00  0x00004600  +
0x0002A400  0x00000200  -
0x0002A600  0x00083800  +
0x000ADE00  0x00000200  -
0x000AE000  0x00074E00  +
0x00122E00  0x00000200  -
0x00123000  0x00004600  +
0x00127600  0x00000200  -
0x00127800  0x00004600  +
0x0012BE00  0x00000200  -
0x0012C000  0x00004600  +
0x00130600  0x00000200  -
0x00130800  0x00004600  +
0x00134E00  0x00000200  -
0x00135000  0x00004600  +
0x00139600  0x00000200  -
0x00139800  0x00004600  +
0x0013DE00  0x00000200  -
0x0013E000  0x00004600  +
0x00142600  0x00000200  -
0x00142800  0x00004600  +
0x00146E00  0x00000200  -
0x00147000  0x00004600  +
0x0014B600  0x00000200  -
0x0014B800  0x00001600  +
0x0014CE00  0x00000200  -
0x0014D000  0x0001B000  +
