# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdb dump.img ddrescue.log --retrim
# Start time:   2023-02-26 19:34:03
# Current time: 2023-02-26 19:57:34
# Finished
# current_pos  current_status  current_pass
0x00080A00     +               1
#      pos        size  status
0x00000000  0x00000200  +
0x00000200  0x00000200  -
0x00000400  0x00001A00  +
0x00001E00  0x00000200  -
0x00002000  0x00002800  +
0x00004800  0x00000200  -
0x00004A00  0x00001C00  +
0x00006600  0x00000200  -
0x00006800  0x00002200  +
0x00008A00  0x00000200  -
0x00008C00  0x00000200  +
0x00008E00  0x00000400  -
0x00009200  0x00000200  +
0x00009400  0x00000400  -
0x00009800  0x00001600  +
0x0000AE00  0x00000600  -
0x0000B400  0x00000200  +
0x0000B600  0x00000200  -
0x0000B800  0x00000400  +
0x0000BC00  0x00000200  -
0x0000BE00  0x00000400  +
0x0000C200  0x00000200  -
0x0000C400  0x00001400  +
0x0000D800  0x00001A00  -
0x0000F200  0x00000400  +
0x0000F600  0x00000600  -
0x0000FC00  0x00002400  +
0x00012000  0x00002400  -
0x00014400  0x00002400  +
0x00016800  0x00002400  -
0x00018C00  0x00002400  +
0x0001B000  0x00002400  -
0x0001D400  0x00002400  +
0x0001F800  0x00002800  -
0x00022000  0x00000200  +
0x00022200  0x00000200  -
0x00022400  0x00000400  +
0x00022800  0x00000400  -
0x00022C00  0x00000C00  +
0x00023800  0x00000200  -
0x00023A00  0x00000200  +
0x00023C00  0x00000200  -
0x00023E00  0x00000200  +
0x00024000  0x00002400  -
0x00026400  0x00000A00  +
0x00026E00  0x00000400  -
0x00027200  0x00000200  +
0x00027400  0x00000400  -
0x00027800  0x00001000  +
0x00028800  0x00002400  -
0x0002AC00  0x00002400  +
0x0002D000  0x00002400  -
0x0002F400  0x00002400  +
0x00031800  0x00002400  -
0x00033C00  0x00001C00  +
0x00035800  0x00000200  -
0x00035A00  0x00000600  +
0x00036000  0x00002400  -
0x00038400  0x00001E00  +
0x0003A200  0x00000200  -
0x0003A400  0x00000400  +
0x0003A800  0x00002400  -
0x0003CC00  0x00002200  +
0x0003EE00  0x00002800  -
0x00041600  0x00002200  +
0x00043800  0x00000200  -
0x00043A00  0x00000E00  +
0x00044800  0x00000200  -
0x00044A00  0x00000400  +
0x00044E00  0x00000600  -
0x00045400  0x00000400  +
0x00045800  0x00000200  -
0x00045A00  0x00000600  +
0x00046000  0x00000200  -
0x00046200  0x00004800  +
0x0004AA00  0x00000200  -
0x0004AC00  0x00004A00  +
0x0004F600  0x00000200  -
0x0004F800  0x00004A00  +
0x00054200  0x00000200  -
0x00054400  0x00004800  +
0x00058C00  0x00000200  -
0x00058E00  0x00003800  +
0x0005C600  0x00000200  -
0x0005C800  0x00001000  +
0x0005D800  0x00000200  -
0x0005DA00  0x00009400  +
0x00066E00  0x00000200  -
0x00067000  0x00002E00  +
0x00069E00  0x00000200  -
0x0006A000  0x00001A00  +
0x0006BA00  0x00000200  -
0x0006BC00  0x00004800  +
0x00070400  0x00000200  -
0x00070600  0x00007000  +
0x00077600  0x00000200  -
0x00077800  0x00004A00  +
0x0007C200  0x00000200  -
0x0007C400  0x00004800  +
0x00080C00  0x00000200  -
0x00080E00  0x000E7200  +
