# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdb dump.img ddrescue.log -r 3
# Start time:   2023-02-27 16:56:51
# Current time: 2023-02-27 17:01:04
# Retrying bad sectors... Retry 2 (backwards)
# current_pos  current_status  current_pass
0x00000C00     -               2
#      pos        size  status
0x00000000  0x00002400  -
0x00002400  0x00001600  +
0x00003A00  0x00000200  -
0x00003C00  0x00152200  +
0x00155E00  0x00000200  -
0x00156000  0x00002800  +
0x00158800  0x00000200  -
0x00158A00  0x00006400  +
0x0015EE00  0x00000200  -
0x0015F000  0x00008E00  +
0x00167E00  0x00000200  -
