# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdb dump.img ddrescue.log --retrim -r 1
# Start time:   2023-02-28 10:35:50
# Current time: 2023-02-28 10:40:14
# Finished
# current_pos  current_status  current_pass
0x00162A00     +               1
#      pos        size  status
0x00000000  0x00000E00  +
0x00000E00  0x00000200  -
0x00001000  0x00002200  +
0x00003200  0x00000200  -
0x00003400  0x00000600  +
0x00003A00  0x00000200  -
0x00003C00  0x00001A00  +
0x00005600  0x00000200  -
0x00005800  0x00002A00  +
0x00008200  0x00000200  -
0x00008400  0x00001A00  +
0x00009E00  0x00000200  -
0x0000A000  0x00004600  +
0x0000E600  0x00000200  -
0x0000E800  0x00004600  +
0x00012E00  0x00000200  -
0x00013000  0x00004600  +
0x00017600  0x00000200  -
0x00017800  0x00091400  +
0x000A8C00  0x00000200  -
0x000A8E00  0x00047E00  +
0x000F0C00  0x00000400  -
0x000F1000  0x00004400  +
0x000F5400  0x00000400  -
0x000F5800  0x00004400  +
0x000F9C00  0x00000400  -
0x000FA000  0x00004400  +
0x000FE400  0x00000400  -
0x000FE800  0x00004400  +
0x00102C00  0x00000200  -
0x00102E00  0x00005800  +
0x00108600  0x00000200  -
0x00108800  0x00001000  +
0x00109800  0x00000400  -
0x00109C00  0x00014400  +
0x0011E000  0x00000200  -
0x0011E200  0x00004600  +
0x00122800  0x00000200  -
0x00122A00  0x00005400  +
0x00127E00  0x00000200  -
0x00128000  0x00004600  +
0x0012C600  0x00000200  -
0x0012C800  0x00004600  +
0x00130E00  0x00000200  -
0x00131000  0x00004600  +
0x00135600  0x00000200  -
0x00135800  0x00004600  +
0x00139E00  0x00000200  -
0x0013A000  0x0000C800  +
0x00146800  0x00000200  -
0x00146A00  0x00001800  +
0x00148200  0x00000200  -
0x00148400  0x00004600  +
0x0014CA00  0x00000200  -
0x0014CC00  0x00008E00  +
0x00155A00  0x00000200  -
0x00155C00  0x00004600  +
0x0015A200  0x00000200  -
0x0015A400  0x00004600  +
0x0015EA00  0x00000200  -
0x0015EC00  0x00003E00  +
0x00162A00  0x00000200  -
0x00162C00  0x00005400  +
