# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdb dump.img ddrescue.log
# Start time:   2023-02-27 23:34:02
# Current time: 2023-02-27 23:37:23
# Scraping failed blocks... (forwards)
# current_pos  current_status  current_pass
0x0000FE00     /               1
#      pos        size  status
0x00000000  0x00008200  -
0x00008200  0x00000600  +
0x00008800  0x00000800  -
0x00009000  0x00000600  +
0x00009600  0x00000A00  -
0x0000A000  0x00000600  +
0x0000A600  0x00000C00  -
0x0000B200  0x00000200  +
0x0000B400  0x00000C00  -
0x0000C000  0x00000600  +
0x0000C600  0x00000A00  -
0x0000D000  0x00000600  +
0x0000D600  0x00000800  -
0x0000DE00  0x00000600  +
0x0000E400  0x00000C00  -
0x0000F000  0x00000600  +
0x0000F600  0x00000800  -
0x0000FE00  0x00158000  /
0x00167E00  0x00000200  -
