# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdb dump.img ddrescue.log -r 1
# Start time:   2023-02-28 18:26:58
# Current time: 2023-02-28 19:22:09
# Retrying bad sectors... Retry 1 (forwards)
# current_pos  current_status  current_pass
0x000AC200     -               1
#      pos        size  status
0x00000000  0x00000200  -
0x00000200  0x00000400  +
0x00000600  0x00000400  -
0x00000A00  0x00000600  +
0x00001000  0x00000200  -
0x00001200  0x00000200  +
0x00001400  0x00000200  -
0x00001600  0x00000400  +
0x00001A00  0x00000200  -
0x00001C00  0x00000800  +
0x00002400  0x00000200  -
0x00002600  0x00000600  +
0x00002C00  0x00000200  -
0x00002E00  0x00000600  +
0x00003400  0x00000600  -
0x00003A00  0x00000600  +
0x00004000  0x00000200  -
0x00004200  0x00000A00  +
0x00004C00  0x00000200  -
0x00004E00  0x00000200  +
0x00005000  0x00000200  -
0x00005200  0x00000600  +
0x00005800  0x00000600  -
0x00005E00  0x00000400  +
0x00006200  0x00000600  -
0x00006800  0x00000400  +
0x00006C00  0x00000200  -
0x00006E00  0x00000200  +
0x00007000  0x00000800  -
0x00007800  0x00000400  +
0x00007C00  0x00000600  -
0x00008200  0x00000400  +
0x00008600  0x00000600  -
0x00008C00  0x00000800  +
0x00009400  0x00000200  -
0x00009600  0x00000200  +
0x00009800  0x00000200  -
0x00009A00  0x00000600  +
0x0000A000  0x00000800  -
0x0000A800  0x00000200  +
0x0000AA00  0x00000600  -
0x0000B000  0x00000400  +
0x0000B400  0x00000200  -
0x0000B600  0x00000200  +
0x0000B800  0x00000800  -
0x0000C000  0x00000400  +
0x0000C400  0x00000600  -
0x0000CA00  0x00000400  +
0x0000CE00  0x00000800  -
0x0000D600  0x00000600  +
0x0000DC00  0x00000200  -
0x0000DE00  0x00000200  +
0x0000E000  0x00000400  -
0x0000E400  0x00000400  +
0x0000E800  0x00000800  -
0x0000F000  0x00000200  +
0x0000F200  0x00000600  -
0x0000F800  0x00000A00  +
0x00010200  0x00000600  -
