# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdc dump.img ddrescue.log
# Start time:   2023-03-01 09:29:38
# Current time: 2023-03-01 09:30:36
# Finished
# current_pos  current_status  current_pass
0x00166E00     +               1
#      pos        size  status
0x00000000  0x00115E00  +
0x00115E00  0x00000200  -
0x00116000  0x00004600  +
0x0011A600  0x00000200  -
0x0011A800  0x00004600  +
0x0011EE00  0x00000200  -
0x0011F000  0x00004600  +
0x00123600  0x00000200  -
0x00123800  0x00004600  +
0x00127E00  0x00000200  -
0x00128000  0x00004600  +
0x0012C600  0x00000200  -
0x0012C800  0x00004600  +
0x00130E00  0x00000200  -
0x00131000  0x00004600  +
0x00135600  0x00000200  -
0x00135800  0x00004600  +
0x00139E00  0x00000200  -
0x0013A000  0x00004600  +
0x0013E600  0x00000200  -
0x0013E800  0x00004600  +
0x00142E00  0x00000200  -
0x00143000  0x00004600  +
0x00147600  0x00000200  -
0x00147800  0x00004600  +
0x0014BE00  0x00000200  -
0x0014C000  0x00004600  +
0x00150600  0x00000200  -
0x00150800  0x00004600  +
0x00154E00  0x00000200  -
0x00155000  0x00004400  +
0x00159400  0x00000400  -
0x00159800  0x00004400  +
0x0015DC00  0x00000400  -
0x0015E000  0x00004400  +
0x00162400  0x00000400  -
0x00162800  0x00004600  +
0x00166E00  0x00000200  -
0x00167000  0x00001000  +
