# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdb dump.img ddrescue.log --retrim -r 1
# Start time:   2023-03-01 13:19:51
# Current time: 2023-03-01 13:20:26
# Finished
# current_pos  current_status  current_pass
0x00167800     +               1
#      pos        size  status
0x00000000  0x00001600  +
0x00001600  0x00000200  -
0x00001800  0x00137A00  +
0x00139200  0x00000200  -
0x00139400  0x00004600  +
0x0013DA00  0x00000200  -
0x0013DC00  0x00004600  +
0x00142200  0x00000200  -
0x00142400  0x00004600  +
0x00146A00  0x00000200  -
0x00146C00  0x00004600  +
0x0014B200  0x00000200  -
0x0014B400  0x00000E00  +
0x0014C200  0x00000200  -
0x0014C400  0x00003600  +
0x0014FA00  0x00000200  -
0x0014FC00  0x00006A00  +
0x00156600  0x00000200  -
0x00156800  0x00004600  +
0x0015AE00  0x00000200  -
0x0015B000  0x00004600  +
0x0015F600  0x00000200  -
0x0015F800  0x00003800  +
0x00163000  0x00000200  -
0x00163200  0x00000C00  +
0x00163E00  0x00000200  -
0x00164000  0x00003800  +
0x00167800  0x00000200  -
0x00167A00  0x00000600  +
