# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdb dump.img ddrescue.log --retrim -r 5
# Start time:   2023-03-01 15:24:19
# Current time: 2023-03-01 15:25:36
# Retrying bad sectors... Retry 2 (backwards)
# current_pos  current_status  current_pass
0x00029A00     -               2
#      pos        size  status
0x00000000  0x0000C400  +
0x0000C400  0x00000200  -
0x0000C600  0x00002200  +
0x0000E800  0x00000200  -
0x0000EA00  0x00002200  +
0x00010C00  0x00000200  -
0x00010E00  0x00002200  +
0x00013000  0x00000200  -
0x00013200  0x00002200  +
0x00015400  0x00000200  -
0x00015600  0x00002200  +
0x00017800  0x00000200  -
0x00017A00  0x00002200  +
0x00019C00  0x00000200  -
0x00019E00  0x00002200  +
0x0001C000  0x00000200  -
0x0001C200  0x00002200  +
0x0001E400  0x00000200  -
0x0001E600  0x0000B200  +
0x00029800  0x00000200  -
0x00029A00  0x00002200  +
0x0002BC00  0x00000200  -
0x0002BE00  0x00002200  +
0x0002E000  0x00000200  -
0x0002E200  0x00002200  +
0x00030400  0x00000200  -
0x00030600  0x00002200  +
0x00032800  0x00000200  -
0x00032A00  0x00002200  +
0x00034C00  0x00000200  -
0x00034E00  0x00002200  +
0x00037000  0x00000200  -
0x00037200  0x00086A00  +
0x000BDC00  0x00000200  -
0x000BDE00  0x00002200  +
0x000C0000  0x00000200  -
0x000C0200  0x00002200  +
0x000C2400  0x00000200  -
0x000C2600  0x00006A00  +
0x000C9000  0x00000200  -
0x000C9200  0x00037000  +
0x00100200  0x00000200  -
0x00100400  0x00057C00  +
0x00158000  0x00000200  -
0x00158200  0x00004600  +
0x0015C800  0x00000200  -
0x0015CA00  0x00001400  +
0x0015DE00  0x00000200  -
0x0015E000  0x0000A000  +
