# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdb dump.img ddrescue.log --retrim -r 3
# Start time:   2023-03-01 15:36:59
# Current time: 2023-03-01 15:43:10
# Retrying bad sectors... Retry 3 (forwards)
# current_pos  current_status  current_pass
0x00007000     -               3
#      pos        size  status
0x00000000  0x00000C00  +
0x00000C00  0x00000200  -
0x00000E00  0x00003600  +
0x00004400  0x00000400  -
0x00004800  0x00000C00  +
0x00005400  0x00000200  -
0x00005600  0x00001600  +
0x00006C00  0x00000200  -
0x00006E00  0x00000200  +
0x00007000  0x00000E00  -
0x00007E00  0x00000A00  +
0x00008800  0x00000400  -
0x00008C00  0x00000200  +
0x00008E00  0x00000200  -
0x00009000  0x00002400  +
0x0000B400  0x00000200  -
0x0000B600  0x00000400  +
0x0000BA00  0x00000400  -
0x0000BE00  0x00000200  +
0x0000C000  0x00000400  -
0x0000C400  0x00000C00  +
0x0000D000  0x00000200  -
0x0000D200  0x00000200  +
0x0000D400  0x00000200  -
0x0000D600  0x00001C00  +
0x0000F200  0x00000400  -
0x0000F600  0x00000E00  +
0x00010400  0x00000200  -
0x00010600  0x00000600  +
0x00010C00  0x00000200  -
0x00010E00  0x00000E00  +
0x00011C00  0x00000200  -
0x00011E00  0x00002E00  +
0x00014C00  0x00000200  -
0x00014E00  0x00000600  +
0x00015400  0x00000200  -
0x00015600  0x0003B000  +
0x00050600  0x00000200  -
0x00050800  0x00004600  +
0x00054E00  0x00000200  -
0x00055000  0x00016600  +
0x0006B600  0x00000200  -
0x0006B800  0x0006BE00  +
0x000D7600  0x00000200  -
0x000D7800  0x00004600  +
0x000DBE00  0x00000200  -
0x000DC000  0x00004600  +
0x000E0600  0x00000200  -
0x000E0800  0x00004600  +
0x000E4E00  0x00000200  -
0x000E5000  0x00004600  +
0x000E9600  0x00000200  -
0x000E9800  0x00011E00  +
0x000FB600  0x00000200  -
0x000FB800  0x0001E600  +
0x00119E00  0x00000200  -
0x0011A000  0x00004600  +
0x0011E600  0x00000200  -
0x0011E800  0x00004600  +
0x00122E00  0x00000200  -
0x00123000  0x00004000  +
0x00127000  0x00000200  -
0x00127200  0x00004600  +
0x0012B800  0x00000200  -
0x0012BA00  0x0000A600  +
0x00136000  0x00000200  -
0x00136200  0x00004400  +
0x0013A600  0x00000400  -
0x0013AA00  0x00004600  +
0x0013F000  0x00000200  -
0x0013F200  0x00004600  +
0x00143800  0x00000200  -
0x00143A00  0x00004600  +
0x00148000  0x00000200  -
0x00148200  0x00004600  +
0x0014C800  0x00000200  -
0x0014CA00  0x00004600  +
0x00151000  0x00000200  -
0x00151200  0x00004600  +
0x00155800  0x00000400  -
0x00155C00  0x00004400  +
0x0015A000  0x00000400  -
0x0015A400  0x00004400  +
0x0015E800  0x00000400  -
0x0015EC00  0x00004400  +
0x00163000  0x00000400  -
0x00163400  0x00004400  +
0x00167800  0x00000400  -
0x00167C00  0x00000400  +
