# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue /dev/sdc dump.img ddrescue.log -r 1
# Start time:   2023-03-02 21:32:03
# Current time: 2023-03-02 21:38:35
# Retrying bad sectors... Retry 1 (forwards)
# current_pos  current_status  current_pass
0x0000D600     -               1
#      pos        size  status
0x00000000  0x00000200  +
0x00000200  0x00000200  -
0x00000400  0x00000C00  +
0x00001000  0x00000200  -
0x00001200  0x00000400  +
0x00001600  0x00000200  -
0x00001800  0x00000C00  +
0x00002400  0x00002400  -
0x00004800  0x00000200  +
0x00004A00  0x00000200  -
0x00004C00  0x00000C00  +
0x00005800  0x00000200  -
0x00005A00  0x00000400  +
0x00005E00  0x00000200  -
0x00006000  0x00000C00  +
0x00006C00  0x00002400  -
0x00009000  0x00000200  +
0x00009200  0x00000200  -
0x00009400  0x00000C00  +
0x0000A000  0x00000200  -
0x0000A200  0x00000400  +
0x0000A600  0x00000200  -
0x0000A800  0x00000C00  +
0x0000B400  0x00002400  -
0x0000D800  0x00001000  +
0x0000E800  0x00000200  -
0x0000EA00  0x00000400  +
0x0000EE00  0x00000200  -
0x0000F000  0x00000C00  +
0x0000FC00  0x00002400  -
0x00012000  0x00001600  +
0x00013600  0x00000200  -
0x00013800  0x00000C00  +
0x00014400  0x00002400  -
0x00016800  0x00001600  +
0x00017E00  0x00000200  -
0x00018000  0x00000E00  +
0x00018E00  0x00000400  -
0x00019200  0x00000200  +
0x00019400  0x00000200  -
0x00019600  0x00000200  +
0x00019800  0x00000C00  -
0x0001A400  0x00000400  +
0x0001A800  0x00000200  -
0x0001AA00  0x00000200  +
0x0001AC00  0x00000400  -
0x0001B000  0x00000800  +
0x0001B800  0x00000200  -
0x0001BA00  0x00000C00  +
0x0001C600  0x00000200  -
0x0001C800  0x00000E00  +
0x0001D600  0x00000200  -
0x0001D800  0x00000400  +
0x0001DC00  0x00000200  -
0x0001DE00  0x00000200  +
0x0001E000  0x00000200  -
0x0001E200  0x00000800  +
0x0001EA00  0x00000200  -
0x0001EC00  0x00000E00  +
0x0001FA00  0x00000200  -
0x0001FC00  0x00000400  +
0x00020000  0x00000200  -
0x00020200  0x00000C00  +
0x00020E00  0x00000200  -
0x00021000  0x00000E00  +
0x00021E00  0x00000200  -
0x00022000  0x00001200  +
0x00023200  0x00000200  -
0x00023400  0x00000E00  +
0x00024200  0x00000200  -
0x00024400  0x00000400  +
0x00024800  0x00000200  -
0x00024A00  0x00000C00  +
0x00025600  0x00000200  -
0x00025800  0x00000C00  +
0x00026400  0x00000600  -
0x00026A00  0x00000600  +
0x00027000  0x00000E00  -
0x00027E00  0x00000400  +
0x00028200  0x00000600  -
0x00028800  0x00000200  +
0x00028A00  0x00000200  -
0x00028C00  0x00000400  +
0x00029000  0x00000200  -
0x00029200  0x00000C00  +
0x00029E00  0x00000200  -
0x0002A000  0x00002200  +
0x0002C200  0x00000200  -
0x0002C400  0x00000E00  +
0x0002D200  0x00000200  -
0x0002D400  0x00001200  +
0x0002E600  0x00000200  -
0x0002E800  0x00002200  +
0x00030A00  0x00000200  -
0x00030C00  0x00002200  +
0x00032E00  0x00000200  -
0x00033000  0x00002200  +
0x00035200  0x00000200  -
0x00035400  0x00002200  +
0x00037600  0x00000200  -
0x00037800  0x00002200  +
0x00039A00  0x00000200  -
0x00039C00  0x00000200  +
0x00039E00  0x00000200  -
0x0003A000  0x0012E000  +
