# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue /dev/sdb dump.img ddrescue.log --retrim -r 1
# Start time:   2023-03-02 21:33:25
# Current time: 2023-03-02 21:35:43
# Finished
# current_pos  current_status  current_pass
0x000ECE00     +               1
#      pos        size  status
0x00000000  0x00001000  +
0x00001000  0x00001000  -
0x00002000  0x00004000  +
0x00006000  0x00001000  -
0x00007000  0x00003000  +
0x0000A000  0x00001000  -
0x0000B000  0x00004000  +
0x0000F000  0x00001000  -
0x00010000  0x000D3000  +
0x000E3000  0x00001000  -
0x000E4000  0x00004000  +
0x000E8000  0x00001000  -
0x000E9000  0x00003000  +
0x000EC000  0x00001000  -
0x000ED000  0x0007B000  +
