# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue /dev/sdb dump.img ddrescue.log -d --retrim
# Start time:   2023-03-02 22:07:32
# Current time: 2023-03-02 22:08:12
# Finished
# current_pos  current_status  current_pass
0x00167600     +               1
#      pos        size  status
0x00000000  0x00007E00  +
0x00007E00  0x00000200  -
0x00008000  0x00004600  +
0x0000C600  0x00000200  -
0x0000C800  0x00004600  +
0x00010E00  0x00000200  -
0x00011000  0x00002200  +
0x00013200  0x00000200  -
0x00013400  0x00002200  +
0x00015600  0x00000200  -
0x00015800  0x00002200  +
0x00017A00  0x00000200  -
0x00017C00  0x00002200  +
0x00019E00  0x00000200  -
0x0001A000  0x00002200  +
0x0001C200  0x00000200  -
0x0001C400  0x00002200  +
0x0001E600  0x00000200  -
0x0001E800  0x00002200  +
0x00020A00  0x00000200  -
0x00020C00  0x00004C00  +
0x00025800  0x00000200  -
0x00025A00  0x00000600  +
0x00026000  0x00000200  -
0x00026200  0x00002200  +
0x00028400  0x00000200  -
0x00028600  0x00001A00  +
0x0002A000  0x00000200  -
0x0002A200  0x00000600  +
0x0002A800  0x00000200  -
0x0002AA00  0x00002200  +
0x0002CC00  0x00000200  -
0x0002CE00  0x00001A00  +
0x0002E800  0x00000200  -
0x0002EA00  0x00000600  +
0x0002F000  0x00000200  -
0x0002F200  0x00002200  +
0x00031400  0x00000200  -
0x00031600  0x00000E00  +
0x00032400  0x00000200  -
0x00032600  0x00000A00  +
0x00033000  0x00000200  -
0x00033200  0x00000600  +
0x00033800  0x00000200  -
0x00033A00  0x00003E00  +
0x00037800  0x00000200  -
0x00037A00  0x00004600  +
0x0003C000  0x00000200  -
0x0003C200  0x00004600  +
0x00040800  0x00000200  -
0x00040A00  0x00004600  +
0x00045000  0x00000200  -
0x00045200  0x0007FE00  +
0x000C5000  0x00000200  -
0x000C5200  0x00067400  +
0x0012C600  0x00000200  -
0x0012C800  0x00029400  +
0x00155C00  0x00000200  -
0x00155E00  0x00004600  +
0x0015A400  0x00000200  -
0x0015A600  0x00004600  +
0x0015EC00  0x00000200  -
0x0015EE00  0x00004600  +
0x00163400  0x00000200  -
0x00163600  0x00003800  +
0x00166E00  0x00000200  -
0x00167000  0x00000600  +
0x00167600  0x00000200  -
0x00167800  0x00000800  +
