# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdb dump.img ddrescue.log --retrim
# Start time:   2023-03-03 19:42:27
# Current time: 2023-03-03 19:43:21
# Finished
# current_pos  current_status  current_pass
0x00033400     +               1
#      pos        size  status
0x00000000  0x00000400  +
0x00000400  0x00000200  -
0x00000600  0x00011E00  +
0x00012400  0x00000200  -
0x00012600  0x00004600  +
0x00016C00  0x00000200  -
0x00016E00  0x00004600  +
0x0001B400  0x00000200  -
0x0001B600  0x00003400  +
0x0001EA00  0x00000A00  -
0x0001F400  0x00000800  +
0x0001FC00  0x00000200  -
0x0001FE00  0x00005000  +
0x00024E00  0x00000200  -
0x00025000  0x00000C00  +
0x00025C00  0x00000200  -
0x00025E00  0x00002A00  +
0x00028800  0x00000200  -
0x00028A00  0x00000C00  +
0x00029600  0x00000200  -
0x00029800  0x00000600  +
0x00029E00  0x00000A00  -
0x0002A800  0x00002800  +
0x0002D000  0x00000200  -
0x0002D200  0x00000C00  +
0x0002DE00  0x00001200  -
0x0002F000  0x00000200  +
0x0002F200  0x00000200  -
0x0002F400  0x00002400  +
0x00031800  0x00000200  -
0x00031A00  0x00000C00  +
0x00032600  0x00000400  -
0x00032A00  0x00000200  +
0x00032C00  0x00000C00  -
0x00033800  0x00000200  +
0x00033A00  0x00000200  -
0x00033C00  0x00134400  +
