# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdb dump.img ddrescue.log
# Start time:   2023-03-03 17:25:37
# Current time: 2023-03-03 17:26:33
# Scraping failed blocks... (forwards)
# current_pos  current_status  current_pass
0x00018E00     /               1
#      pos        size  status
0x00000000  0x00001400  +
0x00001400  0x00001000  -
0x00002400  0x00001400  +
0x00003800  0x00001000  -
0x00004800  0x00001400  +
0x00005C00  0x00001000  -
0x00006C00  0x00000A00  +
0x00007600  0x00000200  -
0x00007800  0x00000800  +
0x00008000  0x00001000  -
0x00009000  0x00001400  +
0x0000A400  0x00001000  -
0x0000B400  0x00000A00  +
0x0000BE00  0x00000200  -
0x0000C000  0x00000800  +
0x0000C800  0x00001000  -
0x0000D800  0x00001400  +
0x0000EC00  0x00003400  -
0x00012000  0x00000E00  +
0x00012E00  0x00000200  -
0x00013000  0x00000400  +
0x00013400  0x00002000  -
0x00015400  0x00000200  +
0x00015600  0x00001200  -
0x00016800  0x00000E00  +
0x00017600  0x00000200  -
0x00017800  0x00000400  +
0x00017C00  0x00001200  -
0x00018E00  0x00026000  /
0x0003EE00  0x00000200  -
0x0003F000  0x000CDA00  +
0x0010CA00  0x00000200  -
0x0010CC00  0x0000D600  /
0x0011A200  0x00000200  -
0x0011A400  0x00016600  +
0x00130A00  0x00000200  -
0x00130C00  0x00037200  /
0x00167E00  0x00000200  -
